Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-09-04 22:00:00.000000 ,7362.01,7369.69,7341.0,7359.21,700.938176,2018-09-04 22:59:59.999000 ,5156818.13868883,6470,366.653458,2697314.17244062,0
2018-09-04 23:00:00.000000 ,7359.49,7364.67,7345.0,7359.06,1235.28947,2018-09-04 23:59:59.999000 ,9086898.2266136,5667,559.802683,4118720.81459667,0
2018-09-05 00:00:00.000000 ,7359.05,7379.0,7355.0,7379.0,1613.70749,2018-09-05 00:59:59.999000 ,11884215.33861263,6319,1091.424637,8037555.38859352,0
2018-09-05 01:00:00.000000 ,7379.0,7394.98,7367.01,7386.46,1404.252421,2018-09-05 01:59:59.999000 ,10368507.4944154,6968,842.910468,6224684.3606653,0
2018-09-05 02:00:00.000000 ,7386.45,7388.64,7370.0,7375.0,1274.867698,2018-09-05 02:59:59.999000 ,9408063.1481519,6397,754.280508,5566544.60244688,0
2018-09-05 03:00:00.000000 ,7373.02,7381.8,7359.0,7379.33,1006.622968,2018-09-05 03:59:59.999000 ,7417813.00894547,7329,639.250375,4710700.3007036,0
2018-09-05 04:00:00.000000 ,7379.17,7382.86,7359.0,7367.19,1261.277131,2018-09-05 04:59:59.999000 ,9296014.01143343,6379,657.261218,4845268.16914062,0
2018-09-05 05:00:00.000000 ,7367.19,7388.0,7365.84,7382.74,1131.402952,2018-09-05 05:59:59.999000 ,8344155.93493521,6177,662.914341,4889354.69912485,0
2018-09-05 06:00:00.000000 ,7382.74,7397.3,7362.0,7381.11,1431.540705,2018-09-05 06:59:59.999000 ,10560089.53728041,7199,869.85718,6417389.36923647,0
2018-09-05 07:00:00.000000 ,7381.12,7383.4,7363.0,7367.16,1316.19449,2018-09-05 07:59:59.999000 ,9700038.97093162,6659,609.435875,4491575.14258515,0
2018-09-05 08:00:00.000000 ,7367.83,7393.59,7364.4,7383.0,1133.784772,2018-09-05 08:59:59.999000 ,8365787.58571739,6826,594.928846,4390115.68936927,0
2018-09-05 09:00:00.000000 ,7384.71,7390.41,7078.0,7092.11,4425.959026,2018-09-05 09:59:59.999000 ,32120395.61500649,21230,1596.466487,11590129.121025,0
2018-09-05 10:00:00.000000 ,7092.11,7180.0,6909.0,6992.26,6972.023207,2018-09-05 10:59:59.999000 ,49477058.94988455,34527,2720.267343,19321506.82592741,0
2018-09-05 11:00:00.000000 ,6992.26,7036.17,6934.0,6991.9,5039.529006,2018-09-05 11:59:59.999000 ,35215870.38618179,25940,2634.738849,18414487.95025251,0
2018-09-05 12:00:00.000000 ,6991.02,7037.95,6965.0,6986.75,3813.368308,2018-09-05 12:59:59.999000 ,26695902.17980133,16948,2068.403339,14479699.82559575,0
2018-09-05 13:00:00.000000 ,6986.0,7050.0,6967.62,7036.04,2835.926292,2018-09-05 13:59:59.999000 ,19850648.06282313,11658,1635.589984,11453549.55745161,0
2018-09-05 14:00:00.000000 ,7033.1,7040.98,6986.09,7017.18,2316.116153,2018-09-05 14:59:59.999000 ,16261941.44979198,12809,1099.724067,7721945.99360367,0
2018-09-05 15:00:00.000000 ,7017.18,7018.18,6934.29,6990.02,2686.844205,2018-09-05 15:59:59.999000 ,18773800.48634328,12292,1345.385843,9402420.85045592,0
2018-09-05 16:00:00.000000 ,6990.5,7000.0,6851.0,6916.65,4540.055899,2018-09-05 16:59:59.999000 ,31464339.91630354,20045,2141.850325,14851337.0198216,0
2018-09-05 17:00:00.000000 ,6917.04,6933.95,6860.25,6912.82,3636.975032,2018-09-05 17:59:59.999000 ,25089025.85366343,19161,1877.688391,12954724.70149802,0
2018-09-05 18:00:00.000000 ,6915.99,6937.85,6893.0,6923.63,2132.37822,2018-09-05 18:59:59.999000 ,14748769.5366137,10209,1175.062771,8126766.11883025,0
2018-09-05 19:00:00.000000 ,6923.64,6938.0,6885.0,6912.76,2552.13704,2018-09-05 19:59:59.999000 ,17655306.60532886,10360,1205.389102,8338827.44075949,0
2018-09-05 20:00:00.000000 ,6912.76,6968.0,6912.76,6968.0,2112.275098,2018-09-05 20:59:59.999000 ,14665450.23993275,10386,1254.43082,8710256.97117696,0
2018-09-05 21:00:00.000000 ,6967.99,6995.0,6925.03,6939.01,1815.242157,2018-09-05 21:59:59.999000 ,12627115.30973284,10128,975.38578,6783960.85131555,0
2018-09-05 22:00:00.000000 ,6940.0,6940.0,6877.0,6909.42,1831.298985,2018-09-05 22:59:59.999000 ,12645896.50530838,9998,969.635906,6697042.03255351,0
2018-09-05 23:00:00.000000 ,6909.42,6927.55,6682.0,6700.0,5431.477012,2018-09-05 23:59:59.999000 ,36827282.93085803,22869,2109.296566,14300107.70229272,0
